PERMNO,date,SHRCD,COMNAM,PRIMEXCH,PRC,VOL,RET,MthCalDt,UGVKEY,datadate,indfmt,consol,popsrc,datafmt,curcd,bkvlps,csho,costat
10104,1987-01-30,11,ORACLE SYSTEMS CORP,Q,27.0,40491.0,0.301205,1987-01-30,12142,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,1987-02-27,11,ORACLE SYSTEMS CORP,Q,38.5,31235.0,0.425926,1987-02-27,12142,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,1987-03-31,11,ORACLE SYSTEMS CORP,Q,22.0,21085.0,0.142857,1987-03-31,12142,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,1987-04-30,11,ORACLE SYSTEMS CORP,Q,23.5,55804.0,0.068182,1987-04-30,12142,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,1987-05-29,11,ORACLE SYSTEMS CORP,Q,27.25,31528.0,0.159574,1987-05-29,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-06-30,11,ORACLE SYSTEMS CORP,Q,22.25,40403.0,-0.183486,1987-06-30,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-07-31,11,ORACLE SYSTEMS CORP,Q,22.75,38808.0,0.022472,1987-07-31,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-08-31,11,ORACLE SYSTEMS CORP,Q,26.75,32289.0,0.175824,1987-08-31,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-09-30,11,ORACLE SYSTEMS CORP,Q,32.5,40316.0,0.214953,1987-09-30,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-10-30,11,ORACLE SYSTEMS CORP,Q,25.0,93751.0,-0.230769,1987-10-30,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-11-30,11,ORACLE SYSTEMS CORP,Q,21.75,38799.0,-0.130000,1987-11-30,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1987-12-31,11,ORACLE SYSTEMS CORP,Q,14.5,50549.0,0.333333,1987-12-31,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1988-01-29,11,ORACLE SYSTEMS CORP,Q,14.0,92386.0,-0.034483,1988-01-29,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1988-02-29,11,ORACLE SYSTEMS CORP,Q,15.125,62892.0,0.080357,1988-02-29,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1988-03-31,11,ORACLE SYSTEMS CORP,Q,16.25,106929.0,0.074380,1988-03-31,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1988-04-29,11,ORACLE SYSTEMS CORP,Q,16.75,54140.0,0.030769,1988-04-29,12142,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,1988-05-31,11,ORACLE SYSTEMS CORP,Q,16.75,57265.0,0.000000,1988-05-31,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-06-30,11,ORACLE SYSTEMS CORP,Q,19.75,102794.0,0.179104,1988-06-30,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-07-29,11,ORACLE SYSTEMS CORP,Q,19.0,92467.0,-0.037975,1988-07-29,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-08-31,11,ORACLE SYSTEMS CORP,Q,18.5,70733.0,-0.026316,1988-08-31,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-09-30,11,ORACLE SYSTEMS CORP,Q,20.125,59750.0,0.087838,1988-09-30,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-10-31,11,ORACLE SYSTEMS CORP,Q,15.75,160647.0,-0.217391,1988-10-31,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-11-30,11,ORACLE SYSTEMS CORP,Q,17.25,88420.0,0.095238,1988-11-30,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1988-12-30,11,ORACLE SYSTEMS CORP,Q,19.5,137117.0,0.130435,1988-12-30,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1989-01-31,11,ORACLE SYSTEMS CORP,Q,23.625,155258.0,0.211538,1989-01-31,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1989-02-28,11,ORACLE SYSTEMS CORP,Q,22.5,98195.0,-0.047619,1989-02-28,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1989-03-31,11,ORACLE SYSTEMS CORP,Q,24.125,140189.0,0.072222,1989-03-31,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1989-04-28,11,ORACLE SYSTEMS CORP,Q,29.0,120542.0,0.202073,1989-04-28,12142,31/05/1988,INDL,C,D,STD,USD,2.2397,60.116,A
10104,1989-05-31,11,ORACLE SYSTEMS CORP,Q,30.5,108462.0,0.051724,1989-05-31,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-06-30,11,ORACLE SYSTEMS CORP,Q,29.75,107021.0,-0.024590,1989-06-30,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-07-31,11,ORACLE SYSTEMS CORP,Q,15.375,161545.0,0.033613,1989-07-31,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-08-31,11,ORACLE SYSTEMS CORP,Q,18.75,216923.0,0.219512,1989-08-31,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-09-29,11,ORACLE SYSTEMS CORP,Q,23.625,198130.0,0.260000,1989-09-29,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-10-31,11,ORACLE SYSTEMS CORP,Q,23.25,226252.0,-0.015873,1989-10-31,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-11-30,11,ORACLE SYSTEMS CORP,Q,24.0,125514.0,0.032258,1989-11-30,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1989-12-29,11,ORACLE SYSTEMS CORP,Q,23.375,170790.0,-0.026042,1989-12-29,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1990-01-31,11,ORACLE SYSTEMS CORP,Q,21.5,348992.0,-0.080214,1990-01-31,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1990-02-28,11,ORACLE SYSTEMS CORP,Q,22.375,199115.0,0.040698,1990-02-28,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1990-03-30,11,ORACLE SYSTEMS CORP,Q,18.875,584273.0,-0.156425,1990-03-30,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1990-04-30,11,ORACLE SYSTEMS CORP,Q,15.875,351419.0,-0.158940,1990-04-30,12142,31/05/1989,INDL,C,D,STD,USD,3.6327,63.467,A
10104,1990-05-31,11,ORACLE SYSTEMS CORP,Q,19.75,400060.0,0.244094,1990-05-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-06-29,11,ORACLE SYSTEMS CORP,Q,23.125,310423.0,0.170886,1990-06-29,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-07-31,11,ORACLE SYSTEMS CORP,Q,16.875,365929.0,-0.270270,1990-07-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-08-31,11,ORACLE SYSTEMS CORP,Q,11.625,326147.0,-0.311111,1990-08-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-09-28,11,ORACLE SYSTEMS CORP,Q,6.5,508562.0,-0.440860,1990-09-28,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-10-31,11,ORACLE SYSTEMS CORP,Q,5.375,231097.0,-0.173077,1990-10-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-11-30,11,ORACLE SYSTEMS CORP,Q,7.875,255831.0,0.465116,1990-11-30,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1990-12-31,11,ORACLE SYSTEMS CORP,Q,7.875,221997.0,0.000000,1990-12-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1991-01-31,11,ORACLE SYSTEMS CORP,Q,9.0,528879.0,0.142857,1991-01-31,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1991-02-28,11,ORACLE SYSTEMS CORP,Q,9.0,362915.0,0.000000,1991-02-28,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1991-03-28,11,ORACLE SYSTEMS CORP,Q,9.0,300203.0,0.000000,1991-03-28,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1991-04-30,11,ORACLE SYSTEMS CORP,Q,9.25,304625.0,0.027778,1991-04-30,12142,31/05/1990,INDL,C,D,STD,USD,2.9556,131.138,A
10104,1991-05-31,11,ORACLE SYSTEMS CORP,Q,7.5,185803.0,-0.189189,1991-05-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-06-28,11,ORACLE SYSTEMS CORP,Q,8.5,208040.0,0.133333,1991-06-28,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-07-31,11,ORACLE SYSTEMS CORP,Q,9.125,198074.0,0.073529,1991-07-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-08-30,11,ORACLE SYSTEMS CORP,Q,11.25,227320.0,0.232877,1991-08-30,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-09-30,11,ORACLE SYSTEMS CORP,Q,13.375,315330.0,0.188889,1991-09-30,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-10-31,11,ORACLE SYSTEMS CORP,Q,15.75,345189.0,0.177570,1991-10-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-11-29,11,ORACLE SYSTEMS CORP,Q,13.5,209976.0,-0.142857,1991-11-29,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1991-12-31,11,ORACLE SYSTEMS CORP,Q,14.5,230867.0,0.074074,1991-12-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1992-01-31,11,ORACLE SYSTEMS CORP,Q,18.5,465798.0,0.275862,1992-01-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1992-02-28,11,ORACLE SYSTEMS CORP,Q,20.0,197818.0,0.081081,1992-02-28,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1992-03-31,11,ORACLE SYSTEMS CORP,Q,13.5,422628.0,-0.325000,1992-03-31,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1992-04-30,11,ORACLE SYSTEMS CORP,Q,13.875,242783.0,0.027778,1992-04-30,12142,31/05/1991,INDL,C,D,STD,USD,2.5289,136.297,A
10104,1992-05-29,11,ORACLE SYSTEMS CORP,Q,14.875,151890.0,0.072072,1992-05-29,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-06-30,11,ORACLE SYSTEMS CORP,Q,15.25,204716.0,0.025210,1992-06-30,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-07-31,11,ORACLE SYSTEMS CORP,Q,18.625,321459.0,0.221311,1992-07-31,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-08-31,11,ORACLE SYSTEMS CORP,Q,17.5,152562.0,-0.060403,1992-08-31,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-09-30,11,ORACLE SYSTEMS CORP,Q,20.0,339689.0,0.142857,1992-09-30,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-10-30,11,ORACLE SYSTEMS CORP,Q,22.25,341814.0,0.112500,1992-10-30,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-11-30,11,ORACLE SYSTEMS CORP,Q,22.25,236258.0,0.000000,1992-11-30,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1992-12-31,11,ORACLE SYSTEMS CORP,Q,28.375,374149.0,0.275281,1992-12-31,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1993-01-29,11,ORACLE SYSTEMS CORP,Q,32.5,386650.0,0.145374,1993-01-29,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1993-02-26,11,ORACLE SYSTEMS CORP,Q,32.75,326605.0,0.007692,1993-02-26,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1993-03-31,11,ORACLE SYSTEMS CORP,Q,36.75,364735.0,0.122137,1993-03-31,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1993-04-30,11,ORACLE SYSTEMS CORP,Q,35.625,262532.0,-0.030612,1993-04-30,12142,31/05/1992,INDL,C,D,STD,USD,3.1097,139.897,A
10104,1993-05-28,11,ORACLE SYSTEMS CORP,Q,41.75,318493.0,0.171930,1993-05-28,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-06-30,11,ORACLE SYSTEMS CORP,Q,49.25,349810.0,0.179641,1993-06-30,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-07-30,11,ORACLE SYSTEMS CORP,Q,50.375,308110.0,0.022843,1993-07-30,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-08-31,11,ORACLE SYSTEMS CORP,Q,51.5,344812.0,0.022333,1993-08-31,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-09-30,11,ORACLE SYSTEMS CORP,Q,61.375,381938.0,0.191748,1993-09-30,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-10-29,11,ORACLE SYSTEMS CORP,Q,59.25,363534.0,-0.034623,1993-10-29,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-11-30,11,ORACLE SYSTEMS CORP,Q,31.625,381401.0,0.067511,1993-11-30,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1993-12-31,11,ORACLE SYSTEMS CORP,Q,28.75,728630.0,-0.090909,1993-12-31,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1994-01-31,11,ORACLE SYSTEMS CORP,Q,32.125,671367.0,0.117391,1994-01-31,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1994-02-28,11,ORACLE SYSTEMS CORP,Q,33.0,391451.0,0.027237,1994-02-28,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1994-03-31,11,ORACLE SYSTEMS CORP,Q,32.125,429079.0,-0.026515,1994-03-31,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1994-04-29,11,ORACLE SYSTEMS CORP,Q,29.875,506052.0,-0.070039,1994-04-29,12142,31/05/1993,INDL,C,D,STD,USD,3.7126,142.228,A
10104,1994-05-31,11,ORACLE SYSTEMS CORP,Q,34.25,480357.0,0.146444,1994-05-31,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-06-30,11,ORACLE SYSTEMS CORP,Q,37.5,686202.0,0.094891,1994-06-30,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-07-29,11,ORACLE SYSTEMS CORP,Q,38.25,412507.0,0.020000,1994-07-29,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-08-31,11,ORACLE SYSTEMS CORP,Q,42.6875,447523.0,0.116013,1994-08-31,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-09-30,11,ORACLE SYSTEMS CORP,Q,43.0,360215.0,0.007321,1994-09-30,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-10-31,11,ORACLE SYSTEMS CORP,Q,46.0,364292.0,0.069767,1994-10-31,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-11-30,11,ORACLE SYSTEMS CORP,Q,41.25,427795.0,-0.103261,1994-11-30,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1994-12-30,11,ORACLE SYSTEMS CORP,Q,44.125,525381.0,0.069697,1994-12-30,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1995-01-31,11,ORACLE SYSTEMS CORP,Q,42.625,443361.0,-0.033994,1995-01-31,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1995-02-28,11,ORACLE SYSTEMS CORP,Q,31.375,344532.0,0.104106,1995-02-28,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1995-03-31,11,ORACLE SYSTEMS CORP,Q,31.25,622860.0,-0.003984,1995-03-31,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1995-04-28,11,ORACLE SYSTEMS CORP,Q,30.5,724738.0,-0.024000,1995-04-28,12142,31/05/1994,INDL,C,D,STD,USD,2.5861,286.361,A
10104,1995-05-31,11,ORACLE SYSTEMS CORP,Q,34.75,845851.0,0.139344,1995-05-31,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-06-30,11,ORACLE CORP,Q,38.625,654762.0,0.111511,1995-06-30,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-07-31,11,ORACLE CORP,Q,41.875,598369.0,0.084142,1995-07-31,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-08-31,11,ORACLE CORP,Q,40.125,551075.0,-0.041791,1995-08-31,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-09-29,11,ORACLE CORP,Q,38.375,1041878.0,-0.043614,1995-09-29,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-10-31,11,ORACLE CORP,Q,43.625,906229.0,0.136808,1995-10-31,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-11-30,11,ORACLE CORP,Q,45.375,676992.0,0.040115,1995-11-30,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1995-12-29,11,ORACLE CORP,Q,42.375,856421.0,-0.066116,1995-12-29,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1996-01-31,11,ORACLE CORP,Q,47.75,1068644.0,0.126844,1996-01-31,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1996-02-29,11,ORACLE CORP,Q,52.0,833324.0,0.089005,1996-02-29,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1996-03-29,11,ORACLE CORP,Q,47.125,946016.0,-0.093750,1996-03-29,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1996-04-30,11,ORACLE CORP,Q,33.75,1379344.0,0.074271,1996-04-30,12142,31/05/1995,INDL,C,D,STD,USD,2.884,433.357,A
10104,1996-05-31,11,ORACLE CORP,Q,33.125,830735.0,-0.018519,1996-05-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-06-28,11,ORACLE CORP,Q,39.4375,990892.0,0.190566,1996-06-28,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-07-31,11,ORACLE CORP,Q,39.125,973142.0,-0.007924,1996-07-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-08-30,11,ORACLE CORP,Q,35.25,862025.0,-0.099042,1996-08-30,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-09-30,11,ORACLE CORP,Q,42.5625,1011852.0,0.207447,1996-09-30,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-10-31,11,ORACLE CORP,Q,42.3125,788192.0,-0.005874,1996-10-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-11-29,11,ORACLE CORP,Q,49.0,843387.0,0.158050,1996-11-29,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1996-12-31,11,ORACLE CORP,Q,41.75,1264528.0,-0.147959,1996-12-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1997-01-31,11,ORACLE CORP,Q,38.875,1755169.0,-0.068862,1997-01-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1997-02-28,11,ORACLE CORP,Q,39.25,1050155.0,0.009646,1997-02-28,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1997-03-31,11,ORACLE CORP,Q,38.5625,1689202.0,-0.017516,1997-03-31,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1997-04-30,11,ORACLE CORP,Q,39.75,1198274.0,0.030794,1997-04-30,12142,31/05/1996,INDL,C,D,STD,USD,2.8521,655.826,A
10104,1997-05-30,11,ORACLE CORP,Q,46.625,1411228.0,0.172956,1997-05-30,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-06-30,11,ORACLE CORP,Q,50.375,1397045.0,0.080429,1997-06-30,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-07-31,11,ORACLE CORP,Q,54.4375,1073295.0,0.080645,1997-07-31,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-08-29,11,ORACLE CORP,Q,38.125,1226555.0,0.050517,1997-08-29,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-09-30,11,ORACLE CORP,Q,36.4375,1572434.0,-0.044262,1997-09-30,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-10-31,11,ORACLE CORP,Q,35.78125,1469451.0,-0.018010,1997-10-31,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-11-28,11,ORACLE CORP,Q,33.3125,1091218.0,-0.068996,1997-11-28,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1997-12-31,11,ORACLE CORP,Q,22.3125,4761137.0,-0.330206,1997-12-31,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1998-01-30,11,ORACLE CORP,Q,23.25,2880412.0,0.042017,1998-01-30,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1998-02-27,11,ORACLE CORP,Q,24.625,2269125.0,0.059140,1998-02-27,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1998-03-31,11,ORACLE CORP,Q,31.5625,2852147.0,0.281726,1998-03-31,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1998-04-30,11,ORACLE CORP,Q,25.875,1587574.0,-0.180198,1998-04-30,12142,31/05/1997,INDL,C,D,STD,USD,3.6346,651.98,A
10104,1998-05-29,11,ORACLE CORP,Q,23.625,1229618.0,-0.086957,1998-05-29,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-06-30,11,ORACLE CORP,Q,24.5625,1637953.0,0.039683,1998-06-30,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-07-31,11,ORACLE CORP,Q,26.5,1685381.0,0.078880,1998-07-31,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-08-31,11,ORACLE CORP,Q,19.9375,1309215.0,-0.247642,1998-08-31,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-09-30,11,ORACLE CORP,Q,29.125,2153488.0,0.460815,1998-09-30,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-10-30,11,ORACLE CORP,Q,29.5625,1821114.0,0.015021,1998-10-30,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-11-30,11,ORACLE CORP,Q,34.25,1645840.0,0.158562,1998-11-30,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1998-12-31,11,ORACLE CORP,Q,43.125,1939260.0,0.259124,1998-12-31,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1999-01-29,11,ORACLE CORP,Q,55.375,1959910.0,0.284058,1999-01-29,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1999-02-26,11,ORACLE CORP,Q,55.875,2210451.0,0.009029,1999-02-26,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1999-03-31,11,ORACLE CORP,Q,26.375,4601411.0,-0.291946,1999-03-31,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1999-04-30,11,ORACLE CORP,Q,27.0625,4266036.0,0.026066,1999-04-30,12142,31/05/1998,INDL,C,D,STD,USD,3.0386,973.337,A
10104,1999-05-28,11,ORACLE CORP,Q,24.8125,3954138.0,-0.083141,1999-05-28,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-06-30,11,ORACLE CORP,Q,37.125,4884428.0,0.496222,1999-06-30,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-07-30,11,ORACLE CORP,Q,38.0625,2377767.0,0.025253,1999-07-30,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-08-31,11,ORACLE CORP,Q,36.5,1929784.0,-0.041051,1999-08-31,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-09-30,11,ORACLE CORP,Q,45.5,3559312.0,0.246575,1999-09-30,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-10-29,11,ORACLE CORP,Q,47.5625,2269294.0,0.045330,1999-10-29,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-11-30,11,ORACLE CORP,Q,67.8125,3375592.0,0.425756,1999-11-30,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,1999-12-31,11,ORACLE CORP,Q,112.0625,3090604.0,0.652535,1999-12-31,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,2000-01-31,11,ORACLE CORP,Q,49.95313,5257006.0,-0.108477,2000-01-31,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,2000-02-29,11,ORACLE CORP,Q,74.25,6029862.0,0.486393,2000-02-29,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,2000-03-31,11,ORACLE CORP,Q,78.0625,7011574.0,0.051347,2000-03-31,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,2000-04-28,11,ORACLE CORP,Q,79.9375,6612561.0,0.024019,2000-04-28,12142,31/05/1999,INDL,C,D,STD,USD,2.5821,1431.134,A
10104,2000-05-31,11,ORACLE CORP,Q,71.875,5507674.0,-0.100860,2000-05-31,12142,31/05/2000,INDL,C,D,STD,USD,2.3014,2807.572,A
10104,2000-06-30,11,ORACLE CORP,Q,84.0625,4824974.0,0.169565,2000-06-30,12142,31/05/2000,INDL,C,D,STD,USD,2.3014,2807.572,A
10104,2000-07-31,11,ORACLE CORP,Q,75.1875,3904576.0,-0.105576,2000-07-31,12142,31/05/2000,INDL,C,D,STD,USD,2.3014,2807.572,A
